名前	文明	種族	パワー	コスト	進化	効果	トリガー
戦神アロロ	3	54,84	8000＋	5		3	9	
次元の雷球	3	0		5				
献花の化身	4	77	3000	4				
罰神オルフェ	0,2	84,9,38	5500＋	6		12		
雷神リキ	3,0	84,54,9	5000＋	6		12		
霊神ゴウ	4	77,84	4000＋	5				
闘神タウロス	1,3	84,35,54	5000＋	6		12	4	
幻神ドッコイ	4,1	84,75,25	4000＋	5		12		
回神パロロ	2,4	84,38,75	5000＋	5		12		
神令の精霊ウルテミス	0	11	3500	4		1		
巡霊騎ガスティン	0	14,9	1000	3		27		
アクア・スーパーエメラル	1	35	2000	3		1		
プリズム・ブレイン	1	0		4				
ゴースト・クラッチ	2	0		3				
機動闘竜メタルクロー	3	52,54	2000＋	3		27		
幻獣妖精ユキゴン	4	70,72	2000	3				
運命の選択	4	0		4				
鎧亜の剣邪オラスワン	0,1,2	85	4000	3		12		
霊王機ブルファリオン	4,0,1	9,23,38	6000	6		3,12		
居合のアラゴナイト	3,4,0	8	1000＋	3		12		
惨劇のアイオライト	1,2,3	8	5000	3		12		
失われし鎧亜の秘術	4,1,3	0		6		12	1	
鎧亜の咆哮キリュー・ジルヴェス	2,3,4	85	1000	5		12		
樹海の守護者リニー・ラファロ	0	12	4000	4		1		
芸術機甲サン・オブ・サンダー	0	23	3000＋	4		1		
フォトン・クロック	0	0		4			1	
ブレード・サークル	0	0		4				
ミラー・エッグ	1	25	2000	4		27		
封魔カメレオス	1	38	1000	3				
電影封魔ラルファス	1	38,33	1000	3				
メビウスの回廊	1	0		1				
アクアヒート・ドラグーン	2	54	1000	3		27		
道連人形スイムチャッピー	2	42	1000	3				
封魔ロノヴェル	2	38	2000	2		1		
ヘル・チャリオット	2	0		5				
黒雲のリンバウシャ	3	61	1000＋	3				
特捜兵クロード	3	58	2000	4			1	
超速レーサー・パラリラ	3	72	1000	2				
炎晶バクレツ弾	3	0		4				
スイスイ・スパイドン	4	74	3000	5			1	
森の指揮官コアラ大佐	4	72	2000	3		27		
閃火の両腕	4	75	1000＋	3				
虹色の霊光	4			3				
魔城の黒鬼オルガイザ	2	41	6000	6		3		
電脳封魔マクスヴァル	1,2	35,38	2000	3		1,12		
無双竜機ボルグレス・バーズ	3,4	50,66	8000	7		12,3		
魔城の覇者オルギアス	2	41	7000	8		3		
無双竜機ヴァルガザーク	3,4	50,66	6000	6		12,3		
暗黒導師ブラックルシファー	2	41	6000＋	6		3		
悪魔神バロム・エンペラー	2	41	9000	7	1	3		
ボルシャック・大和・ドラゴン	3	50	6000	6		6,3		
究極神アク	1,2	84	9000＋	7		12,3		
聖鎧亜キング・アルカディアス	0,2	11,85	9000	7	2	12,3		
双流星キリン・レガシー	4,1,3	4	12000	5	7	12,19,3		
アクア・ウェイブスター	1	35	2000	7				
ヴァリアブル・アモン・ドラゴン	3	50	8000	7		3		
超絶神ゼン	4,0	84	8000＋	7		12,1,3		
クリムゾン・メガ・ドラグーン	2,3	54	5000	7		12		
鎧亜の深淵パラドックス	4,1,2	85	6000	4		12,3		
ダイヤモンド・ソード	0	0		3				
疾走の化身	4	77	6000	6		3		
極上神プロディジー	0,1	84	5000＋	5		12,1		
星鎧亜イカロス	3,0	18,85	6000＋	7	2	12,8		
崇高神ケミカル	1,2	84	5000＋	5		12		
リアルとデスの大逆転	1,2	0		4		12	1	
パンチとビンタの報酬	1,3	0		3		12	1	
永遠のジャック・ヴァルディ	2,3	8	7000	4	2	12,3		
至高神オービタル	2,3	84	6000＋	6		12,3	2	
無上神アンダーワールド	3,4	84	3000＋	4		12		
鎧亜の剣邪ミストジアス	0,1,2	85	4000	6		12		
霊騎秘宝ヒャックメー	0,2,4	9,46	8000	5		12,3	1	
勇王の化身ダイカイザン	3,4,0	23,58,77	3000＋	3		12	9	
鎧亜の魔術師グッチョッパ	1,2,3	85	1000	5		12		
霊翼の宝アルバトロス	2,3,4	46,53,75	3000	6		12		
光陣の使徒ムルムル	0	10	2000	2		1		
大電導コンセント・バトラー	0,1	23	1000＋	2		12,27		
傀儡霊騎ケルビレム	0,2	9,42	6000	7		12,3		
霊騎魂具ドリル・レックス	3,0	53,9	2000＋	5		12,6		
護聖妖精トビ・ゴンゴン	4,0	12,70	2500	5		12,1		
剛勇霊騎エシャロット	4,0	9,78	1000	2		12,27		
猛菌恐皇ビューティシャン	1,2	25,40	1000	2		12,1,27		
無双海王ソウル・ドルジ	4,1	83,66	12000	9	2	12,5		
地震と火事の雷親父	2,3	0		5		12,27		
剛撃雷炎アムドゥル	3,4	51,68	13000	8		12,5		
勇猛機動ライオン・アームズ	3,4	52,76	8000＋	6		12,3,27		
聖電機ターコイズ・クラーケン	0,1,2	12,33,54	9000	6		12,1		
霊菌樹ニョキタリス	4,0,1	23,25,77	5500	6		12		
執拗なる鎧亜の牢獄	1,2,3	0		5		12		
闘具の精トリエール	2,3,4	54,53,70	1000	3		12	2	
凶砦秘宝リメンバー	2	46	4000	5				
猛菌護聖ペル・ペレ	0,1	12,25	2500	5		12,1	1	
霊王機エル・カイオウ	0,1	9,23	4500	2		12,1		
ハッピーとラッキーの一撃	0,1	0		2		12		
腐敗聖者ベガ	0,2	10,39	2000	5		12		
護聖秘宝イーグル・カーゴ	0,2	12,46	2000	3		12		
勇騎聖者ジェット・アール・イー	3,0	10,58	2000	5		12		
甲蟲王機ビートルーダー	3,0	23,74	2500	3		12		
封魔ハリセンモン	1,2	38	2000	2		12,2		
電脳勇騎マグナス	1,3	35,58	2000	5		12		
無頼電脳スプラッシュアックス	4,1	35,75	2000	5		12		
闘竜麗姫アントワネット	1,3	30,54	2000	3		12		
封魔鎧冑バリエル	4,1	38,69	3000	4		12		
ミラクルとミステリーの扉	4,1	0		5		12	1	
たたりとホラーの贈り物	2,3	0		2		12	1	
腐敗無頼トリプルマウス	2,4	39,75	2000	5		12		
深塊剛勇アングラ・グレープ	2,4	31,78	3000	4		12		
両断のスカルセドニー	2,4	8	2000	3		12,9		
無頼封魔アニマベルギス	2,4	38,75	1000	2		12		
機動剛勇ラスト・モモタロウ	3,4	52,78	3000	3		12		
龍神ヘヴィ	2	84,44	5000＋	5				
破壊神デス	2,3	84	11000＋	10		12,6,3		
龍神メタル	3	84,50	7000＋	7		3		
黒神龍ドボルザーク	2	44	5000	5		1		
ブラッディ・ドラグーン	2	54	4000	2		1		
ゴッド・ルピア	3	59	1000	2				
邪魂創世	2	0		4				
黒神龍メタル・ザンギラス	2	44	6000	6		3	2	
フレイムウイング・ドラゴン	3	50	7000	7		3	2	
バリバリ・ミラックル	0,1,2,3,4	86	6000	6		12,3		
黒神ダーク・インドラ	2	84	4000＋	6			2	
炎神フレイム・アゴン	3	84	4000＋	5				
地神エメラルド・ファラオ	4	84	6000＋	6				
天神シャイン・バルキリー	0	84	4000＋	5		1		
海神ブルー・ポセイドン	1	84	4000＋	5		2		
エンペラー・マルコ	1	28	6000	5	1	3		
暗黒凰ゼロ・フェニックス	2,3	4	11000	7	7	12,3,34		
超聖竜ボルフェウス・ヘヴン	3,0	11,50	13000	7	6	12,5	2	
ミラクル・ルンバ	0,1,2,3,4	86	11000	6		12,3		
星龍パーフェクト・アース	0,1,2,3,4	87	6000	5		12,3		
バイオレンス・ヘヴン	2	0		10				
龍炎凰インフィニティ・フェニックス	3	4	13000	7	7	5		
バロン・ゴーヤマ	4	78	5000	5				
聖鎧亜クイーン・アルカディアス	0,2	85,11	9000	6	2	12,3		
黙示精霊ラグナシア	0	11,20	0000＋	7				
黒神龍ヘヴィ・ケルベロス	2	44	6000	7		3		
彩強の巨人	4	68	11000	9				
緑神龍バルガザルムス	4	66	5000	5				
獰猛なる大地	4	0		8				
機械提督デリンダー	0,1	23,80	3000	2		12,1,27		
ムシャ・ルピア	3,0	59	2000	4		12		
無頼王機スケル・アイ	4,1	23,75	2000	5		12,2	2	
闘竜炎霊パイロン	2,3	54,61	2000＋	2		12,27		
無頼剣兵ドラグイノセント	3,4	56,75	2000	6		12		
晶鎧亜スペクトライト	0,1,2,3,4	8,85	11000	7		12,3	2	
鎧亜の神将ゼフィス	0,1,2,3,4	85	5000	6		12		
ラスト・バイオレンス	0,1,2,3,4	0		8		12		
電界の守護者ラ・フランシス	0	12	3000	4				
スペース・クロウラー	1	22	3000	4		1		
斬撃虫ブレードワーム	2	45	1000	4				
暗黒螺旋	2	0		5			1	
武者ザンゲキ剣	3	0		6			1	
森の飛忍モモンガジロウ	4	72	1000	6			1	
カラフル・ダンス	4	0		4				
電磁聖者ウォルミル	0,1	10,28	2000	4		12	2	
黄金の円盾	4,0	75	3000	3		12		
深塊封魔ゲルネウス	1,2	38,31	1000	2		12,27		
妖魔賢樹フライ・ラブ	2,4	71,48	2000	3		12		
甲蟲幻獣カブトワン	3,4	72,74	3000	2		12,27		
予言者スフィア	0	20	5000	5		1		
霊騎サイヤス・トロン	0	9	4500	3		1		
巡霊者ミ・アモーレ	0	14	2000	3		1		
リフレクティング・レイ	0	0		3				
電磁麗姫ジェリー	1	30,28	2000	5			1	
クゥリャン	1	28	2000	3				
パナオン	1	28	1000	3		1		
月光電人オボロカゲロウ	1	23	1000	2				
闘竜死爵デス・メンドーサ	2	40,54	5000	6				
呪木人形ピノキル	2	42	3000	4		1		
デビル・スモーク	2	0		5				
フィスト・ドラグーン	3	54	4000	5				
突撃勇者アーニー	3	58	3000＋	3				
ゴレン・キャノン	3	0		5				
無双霊樹メサイダグラス	4	77,66	5000	5				
剛勇妖精ピーチ・プリンセス	4	78,70	2000	3				
フェアリー・ミラクル	4	0		3				
護精霊騎ヴァルチャー	4,0	9,81	3000	2		12,27		
五元のロードライト	0,1,2,3,4	8	12000	6		12,5		
インフィニティ・刃隠・ドラゴン	3	50,88	7000	7		3		
アルティメット・影虎・ドラゴン	3	50,88	6000＋	7		3		
星龍グレイテスト・アース	0,1,2,3,4	87	9000＋	8		5,9,12		
ウルトラ・ミラクルッピー	0,1,2,3,4	86	12000	9		5,12	2	
独裁者ケンジ・パンダネルラ将軍	4	72	6000	5	1	3	2	
森の特攻隊長ペンペン中尉	4	72	1000	2				
ガントラ・マキシバス	3,4	74	4000	3		12	2	
風来の雲ベンケイ	3	72,88	5000	5		25		
天雷の導士アヴァラルド公	0	9,89	1000	3				
朱雀神ガリョウ	3	84,88	5000＋	5				
白虎神テンセイ	4	84,88	5000＋	5		17		
魔光神ルドヴィカ２世	2	89,84	5000＋	5				
魔光神レオパルド２世	0	89,84	5000＋	6				
超神龍ラディオ・ヤエサル	0	82	9000	8	9	3,26		
天雷の龍聖ロレンツオ４世	0	82,89	8000	7		3		
散舞特機サンマイダー	1	23	7000	8		3		
タイタンクラッシュ・クロウラー	1	22	6000	6		1		
超神龍スカイ・ガルーダ	2	44	12000	10	9	5	9	
邪眼皇ロマノフ１世	2	40,44,89	8000	7		3	2	
超神星アレス・ヴァーミンガム	3	4	11000	7	9	3,19	2	
ボルバルザーク・紫電・ドラゴン	3	50,88	7000	7		3,25		
超神龍バリアント・バデス	4	66	0000＋	8	8			
動脈の超人	4	68	6000＋	6		3		
聖帝リオン・ザード	0	9	5500	7	8			
不滅の精霊パーフェクト・ギャラクシー	0	11	9000	7		3,28		
シンカイサーチャー	1	91	4000	6				
氷牙の魔筆マクシミリアン王	1	38,89	3000	4				
魔光帝フェルナンド７世	2	41,89	11000	11		3	2	
黒神龍アマデウス	2	44	15000	7		5		
ブレードグレンオー・マックス	3	93	4000	3	8		4	
竜装 ムシャ・レジェンド	3	1,88		3			2	
緑神龍ガムス・謙信	4	66,88	6000	7		3,25		
叫鬼 ジャミング・ビート	4	1,88		4				
光神龍ザ・イエス	0	82	6000	6		3,26	2	
ピュアユニコーン	0	90	3000	5				
魔光王機デ・バウラ伯	0	23,89	4000	4		1		
地脈の守護者ラグ・マルタス	0	12	2000＋	3				
遊撃鉄人アザース	0	23	1000	2				
魔弾プラス・ワン	0	0,89		2		30		
氷牙提督マティアス卿	1	38,89	5000	7		29		
海王提督ラネーバ・早雲	1	83,88	5000	7		29		
氷牙アクア・マルガレーテ卿	1	35,89	4000	7				
バキューム・クロウラー	1	22	5000	5		1	9	
フォース・オペレーション	1	0		3		28	1	
死皇帝ベルフェギウス	2	40	3000	6	8			
滅城の獣王ベルヘル・デ・ディオス	2	41	6000	6		3	2	
アングリーチャージ・ドラグーン	2	54	4000＋	5				
ヤミノリミット	2	92	4000	4				
邪法カルネイシ	2	40	3000	3		1,28	5	
ソウル・アドバンテージ	2	0		6				
竜将ボルベルグ信玄	3	50,58,88	6000	7		3,25		
直進兵ワッショイエクスプレス	3	52	1000	5				
パワーフォース・ドラグーン	3	54	2000＋	4		28		
モエルグレンオー	3	93	0000＋	4		28		
竜装 ザンゲキ・マッハアーマー	3	1,88		4				
大宇宙シンラ	4	68	15000	8	1	5		
万象の超人	4	68	4000	5			9	
パオルネイチャー	4	94	3000＋	4		28		
暖氷妖精カオルン	4	70	2000	3				
鬼装 オーガ・フィスト	4	1,88		3				
天武の精霊ライトニング・キッド	0	11	5500＋	5		26,28		
天雷の使徒ロドミア	0	10,89	4000	4				
命運の守護者ティオス	0	12	0000＋	3				
パワー・パズル	0	0		2			1	
蒼神龍ステルス・ビアス	1	83	6000	6		3,28		
歌舞伎ロイド・ゴエモン	1	23,88	2000	6		1,25		
キューティ・ハート	1	25	1000＋	4			1	
ピロロン	1	28	2000	3		28		
魔弾ストリーム・サークル	1	0,89		5		30		
流闘 シャーク・バンカー	1	1,88		2				
邪眼の毒蛇エウドキア卿	2	41,89	4000＋	5				
７５０男	2	48	4000	4				
ガルデス・ドラグーン	2	54	5000	3		26		
ＪＫ人形ボッコグー	2	42	2000	3				
魔弾ソウル・キャッチャー	2	0,89		2		30		
エッジアーム・頼光・ドラグーン	3	54,88	4000	4				
ＪＫ野郎チョッキー	3	58	2000＋	4				
トランス・ドラグーン	3	54	5000	3		26		
牛若剣士トドロキ	3	58,88	1000	3				
ライジン・ドラグーン	3	54	1000＋	2				
密林の総督ハックル・キリンソーヤ	4	72	5000	3	8	28		
天狗の化身	4	77,88	5000＋	6		17,25		
霊騎キヨマサ・コムソー	4	9,88	3000	5				
青銅の鎖鎌	4	75	2000	4		26		
密林の残兵ドーナ・ドナ	4	72	2000＋	3				
ルナティック・エナジー	4	0		2			1	
霊壁の使徒ミルース	0	10	4500	5				
予言者リク	0	20	1000	5			1	
予言者ヒョウ	0	20	4000	3		1,26		
光撃巨兵レーザリオン	0	23	3500	3				
ピュアランダース	0	90	2000	3		26		
烈空の使徒バグリス	0	10	1000	3		28		
魔弾チェーン・スパーク	0	0,89		2		30		
突然月光ホイホイザー	1	23	3000	6		1	1	
ハルク・クロウラー	1	22	3000	4		1		
氷牙レオポル・ディーネ公	1	25,89	2000	4				
ピニャコ・ラーダ	1	30	3000	3		1		
氷牙フランツ１世	1	28,89	2000	3				
シンカイドウザン	1	91,88	2000	3		17	4	
アクア・ベララー	1	35	1000	2				
魔弾オープン・ブレイン	1	0,89		5		30	1	
助太刀 メモリー・アクセラー	1	1,88		1			2	
封魔ズルメル	2	38	5000	5		26		
ヤミノサザン	2	92	3000	5			1	
邪眼銃士アレクセイ侯	2	40,89	1000	4			1	
罠々男	2	48	3000	3				
封魔アルバラム	2	38	1000＋	3		1,28		
爆鯨人形ボムラーワン	2	42	1000	3		9		
魔弾デュアル・ザンジバル	2	0,89		4		30		
バブル・トラップ	2	0		4				
アッシュグレンオー	3	93	5000	4		6		
隠れんぼの達人コンコーン	3	72	3000	3		28		
羅神兵デュアル・又左	3	52,88	2000＋	3		17		
爆撃闘士カーバイン	3	58	1000＋	3				
ライラ・ラッタ	3	59	3000	2				
ポッポ・弥太郎・パッピー	3	59,88	2000	2				
獅子幻獣砲	3	0		3			1	
炎刃 ズバット・アクセラー	3	1,88		1				
JKパーネイチャー	4	94	5000	5			2	
鋭翼の化身	4	77	4000	4		26		
風来の股旅ビワノシン	4	78,88	3000	3		17		
霊騎デュナス	4	9	4000	3				
カブラ・カターブラ	4	78	1000	3			1	
雪溶妖精シャーマン・メリッサ	4	70	1000	2				
鼓動する石版	4	0		2				
覇翼 フェアリー・アクセラー	4	1,88		1			2	
奇跡の精霊ミルザム	0	11	11000	9		1,3		
斬隠蒼頭龍バイケン	1	83,95	6000	6		3,29		
邪眼皇アレクサンドル３世	2	40,44,89	6000	7		3		
バザガベルグ・疾風・ドラゴン	3	50,88	8000	8		6,3		
緑神龍ディルガベジータ	4	66	23000	9		32		
光神龍ラル・アブゾーバー	0	82	5000	5		1		
斬隠オロチ	1	28,95	3000	6		31		
威牙の幻ハンゾウ	2	41,95	5000	7		31		
轟火シシガミグレンオー	3	93,95	5000	9		31		
緑神龍ドルルガン・ムラサメ	4	66,88	6000	6		3		
光牙王機ゼロカゲ	0	10,95	7000	7		1,31		
天雷霊騎サルヴァティ	0	9,89	1000	4			1	
星龍の記憶	0	0		3			1	
蒼神龍アル・バビロン	1	83	7000	6		3		
氷牙バブル・ヘルマー公	1	25,89	4000	5				
パステル・ジェリー	1	25	3000	4			11	
邪眼死龍デモトリー５世	2	44,89	7000	7		3	3,5	
邪眼皇弟アウグスト３世	2	40,89	5000	6				
ＪＫヤミノグーデリアン	2	92	1000	5				
猛神兵マキシマムドボン	3	52	8000	4				
ボルット・紫郎・バルット	3	59,88	3000	4				
キリモミ・ヤマアラシ	3	0		1				
ダイヤモンド・フォール	4	70	5000＋	6	1			
維新の超人	4	68,88	8000	7				
土隠風の化身	4	77,95	4000＋	5		31		
超電磁工兵バ・キーン	0	23	1500	5		1	1	
魔光王機デ・アシス公	0	23,89	3000	2		1		
紅玉の守護者リオ・レンティス	0	12	2000＋	4			8	
封魔ラセツ・コロンソン	1	38,88	3000＋	5				
アクア・ツバメガエシ	1	35,88	4000	4		25		
相撲Dr.ウンリュウ	1	88,23	4000	4			2	
凶刻の刃狼ガル・ヴォルフ	2	41	6000	6		3		
威牙忍ジンナイ	2	40,95	3000	4		1		
魔弾ロマノフ・ストライク	2	0,89		5				
不知火グレンマル	3	93,95	5000	7		31		
ＪＫ軍曹チョキパン	3	72	1000	2				
轟剣 レイジング・ザックス	3	1,88		2				
豪腕妖精レイジ・ボッコル	4	70	1000＋	4				
装刃 レオ・インパクト	4	1,88		4			1,2	
ＪＫ兜 パッパラ・ベンケイ	4	1,88		3			2	
天雷獣ピュアホワイト	0	90	4500	3		1,28		
光牙忍ハヤブサマル	0	12,95	3000	3		31		
予言者ラ・ターユ	0	20	3000	3		1	5	
バキューム・レイ	0	0		2				
リアクティブ・クロウラー	1	22	4000	5				
シンカイバビロデム	1	91	4000	4			4	
斬隠テンサイ・ジャニット	1	28,95	1000	3		31		
ジーニアス・ディザスター	1	0		3			1	
高波男	2	48	4000	4				
威牙忍ヤミカゼ・ドラグーン	2	54,95	2000	3		31		
魔光人形ドンキノフ	2	42,89	2000	3				
魔弾バレット・バイス	2	0,89		4		30		
爆炎ホワイトグレンオー	3	93,88	5000	5				
不知火フウタ・ドラグーン	3	54,95	3000	4				
ニンプウ・タイフーン	3	0		2				
